domain_length,entropy,num_subdomains,has_dnssec,has_ds_records,has_spf,has_dmarc,record_types_count,ttl_value,is_malicious,num_digits,num_hyphens,health_score
43,3.778747230343895,3,0,0,0,0,2,3600,0,8,0,59.0
33,4.464196699958322,0,0,1,1,0,6,300,0,2,0,100.0
19,4.203888032323946,4,0,0,0,0,7,86400,0,9,1,70.0
47,3.455003756119278,4,1,0,0,0,1,3600,0,1,2,79.0
12,2.442182384978196,4,1,1,0,0,4,3600,0,5,2,93.0
25,2.26296594353495,2,0,0,1,1,6,86400,0,4,2,95.0
43,3.9577653146143836,1,0,0,0,0,7,3600,0,3,0,70.0
23,4.139465741855085,3,0,0,1,0,2,300,0,5,1,76.0
27,3.0763047376370785,4,1,1,1,0,7,3600,0,5,1,100.0
15,2.2330198223593984,0,1,0,1,0,1,86400,0,2,2,100.0
15,1.8388296252335206,4,0,1,0,0,6,300,0,1,2,89.0
28,1.7615384034954935,1,1,0,1,0,4,300,0,8,1,100.0
40,3.6572323420615667,1,0,1,1,0,5,86400,1,7,2,75.0
44,2.760356183543175,3,1,0,1,0,3,86400,0,3,1,100.0
28,4.216079622833611,2,1,0,1,0,1,300,1,5,1,69.0
7,3.719013902180291,3,1,1,1,1,5,3600,0,2,2,100.0
26,2.07378125374376,4,1,1,0,0,4,86400,0,7,1,93.0
6,3.341332256447097,0,0,0,1,0,5,300,1,2,1,54.0
28,2.8065163631944783,3,1,0,0,1,2,86400,0,1,2,100.0
48,3.2317491923058395,2,0,1,0,1,3,3600,1,6,2,73.0
34,3.7142073700155516,3,0,0,1,1,1,3600,0,2,2,72.0
42,3.9185876430113726,1,0,0,0,0,6,300,1,8,1,37.0
6,4.031211979220172,4,1,1,0,1,7,3600,0,2,2,100.0
25,2.261924623716074,4,0,0,1,1,4,3600,0,7,2,88.0
37,1.593346799752073,4,0,0,1,1,3,3600,1,1,1,48.0
16,3.7178842054943195,4,0,1,0,0,4,86400,0,8,1,88.0
26,1.819031178767324,4,0,0,1,0,7,300,0,0,2,84.0
48,2.4447587658389027,4,0,0,0,1,5,300,0,2,2,82.0
29,1.5114514023730414,0,1,1,0,0,4,300,0,1,1,92.0
31,3.54500844720486,2,1,0,0,0,4,3600,1,6,1,58.0
46,2.0013960344136636,4,0,1,0,0,5,86400,0,4,0,90.0
32,3.4658472290749747,2,1,1,0,0,5,300,0,7,1,89.0
20,4.475227851503517,4,1,0,0,0,7,86400,0,1,1,90.0
19,1.718012614830049,3,0,0,1,0,3,300,0,7,0,80.0
48,1.731234035854382,4,1,0,1,1,1,3600,0,6,2,94.0
7,2.5211402780000247,1,1,0,1,0,5,300,0,4,0,100.0
41,4.099159542754026,0,0,0,1,0,3,300,0,1,1,78.0
11,2.1465896063739955,3,0,0,0,1,7,3600,0,9,0,90.0
25,2.581133459791043,3,1,0,1,0,4,3600,1,6,0,78.0
13,1.7055162198809386,1,0,0,1,0,4,300,0,9,0,87.0
43,3.789465873776668,4,0,0,0,0,6,86400,0,3,0,65.0
22,2.7249190282783533,0,0,0,0,0,2,3600,0,3,0,74.0
8,3.7777461991825287,3,0,0,1,0,5,300,0,7,0,77.0
29,4.210823533040385,0,1,0,1,1,7,3600,0,5,2,100.0
18,2.1982894413038663,3,0,0,1,1,3,86400,0,8,0,86.0
13,3.922188091019854,4,0,0,0,1,6,300,0,1,0,82.0
30,1.67728167023476,3,0,0,0,0,3,300,0,4,0,65.0
6,4.196542164540742,3,0,0,1,0,1,86400,0,5,0,72.0
24,3.452305642676242,2,0,0,1,0,6,86400,0,7,1,92.0
32,4.122680172415055,4,0,0,0,0,7,300,0,3,0,62.0
11,1.5005651986697457,1,1,0,0,0,3,86400,0,6,0,93.0
48,2.0072432110679777,1,0,0,1,1,5,86400,1,6,0,60.0
12,2.6692781622794763,4,0,0,1,0,3,300,0,3,2,83.0
39,2.6385087101241558,1,0,1,0,0,2,3600,1,0,0,59.0
18,2.180191148770532,4,0,0,0,0,4,86400,0,2,1,73.0
21,2.6448358196016004,1,0,1,1,0,4,3600,0,1,2,100.0
40,1.8865461360007645,2,0,0,1,1,6,3600,0,2,1,87.0
44,2.738283387798078,1,1,0,0,1,3,3600,1,4,2,76.0
8,3.9070629874777927,3,0,0,0,0,3,86400,0,0,2,61.0
6,2.9372101893100537,4,1,0,1,0,3,300,1,4,0,68.0
10,1.554000266835645,0,0,0,0,1,3,300,0,1,0,85.0
46,2.7643321247377424,0,1,0,1,1,2,300,0,3,2,100.0
8,1.5815250482725325,4,0,0,1,1,5,300,0,5,0,79.0
33,4.3987302321203945,2,1,0,0,0,2,300,1,8,0,51.0
22,1.882361878268607,1,0,0,1,0,7,300,0,9,2,89.0
30,3.6230649789918563,2,0,0,1,0,7,3600,0,5,2,90.0
48,4.418328968676257,0,0,0,1,0,2,3600,0,9,1,79.0
38,3.9781171549997154,4,1,0,0,1,2,3600,0,1,2,94.0
14,3.597946125378611,4,0,1,1,0,4,86400,0,7,1,100.0
40,4.018382728502301,2,0,0,0,0,7,86400,0,4,1,70.0
18,4.445396079781883,2,1,0,1,0,2,86400,0,8,0,100.0
35,3.3640334917605887,1,0,0,1,1,3,300,0,9,0,80.0
19,3.1775544204879793,3,1,1,0,0,2,3600,1,8,2,56.0
12,3.3847143313898442,3,0,0,1,0,3,86400,0,3,2,83.0
18,3.098027660284665,1,1,0,1,1,6,3600,0,0,1,100.0
27,3.405267317729156,3,0,0,0,0,7,300,1,8,1,39.0
44,2.8495266239176775,0,0,0,0,0,5,3600,0,8,0,75.0
25,2.155329548649921,3,0,0,1,0,4,300,0,7,2,85.0
20,1.860741679535027,1,1,0,0,1,5,86400,0,4,2,100.0
49,1.7050228065967812,3,0,1,0,1,6,300,0,4,2,99.0
22,2.2899473512596003,4,0,0,1,1,5,300,0,9,2,87.0
28,1.6383706930072015,2,1,0,1,1,4,3600,0,5,0,100.0
30,3.201512339758157,0,0,0,1,1,3,300,0,0,0,85.0
